id_point_annee,point,carre,longitude_grid_wgs84,latitude_grid_wgs84,qualite_inventaire_stoc,Alauda_arvensis,Anthus_trivialis,Carduelis_cannabina,Carduelis_carduelis,Carduelis_chloris,Certhia_brachydactyla,Columba_palumbus,Corvus_corone,Cyanistes_caeruleus,Dendrocopos_major,Emberiza_cirlus,Emberiza_citrinella,Erithacus_rubecula,Fringilla_coelebs,Garrulus_glandarius,Hippolais_polyglotta,Hirundo_rustica,Luscinia_megarhynchos,Motacilla_alba,Parus_major,Passer_domesticus,Periparus_ater,Phoenicurus_ochruros,Phylloscopus_collybita,Pica_pica,Picus_viridis,Prunella_modularis,Regulus_ignicapilla,Saxicola_rubicola,Serinus_serinus,Sitta_europaea,Streptopelia_decaocto,Streptopelia_turtur,Sturnus_vulgaris,Sylvia_atricapilla,Sylvia_communis,Troglodytes_troglodytes,Turdus_merula,Turdus_philomelos,Turdus_viscivorus,Habitat_V2,test$shape_df.short_name,Total,Landscape.PCA1,Landscape.PCA2,Landscape.PCA3,Landscape.PCA4,seqnum,hex_area,CLC,CHELSA_tas,CHELSA_spi12
2018010492P02,010492P02,10492,5.5648887134,46.1979318596,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,continental,15,1.33482652815237,-1.19430014932405,-0.429981009151879,-0.923541250491444,1094110,95977942.5823838,3,5.56524354655568,-273.017743180438
2018010492P03,010492P03,10492,5.5648887134,46.1979318596,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,continental,10,1.16646561133849,-1.11251325183048,-0.529432880907091,-0.916346676295093,1094110,95977942.5823838,3,5.56524354655568,-273.017743180438
2018010492P04,010492P04,10492,5.5648887134,46.1979318596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,continental,24,1.14775078356209,-1.10976773345698,-0.540006359098171,-0.871986647920327,1094110,95977942.5823838,3,5.56524354655568,-273.017743180438
2018010492P05,010492P05,10492,5.5648887134,46.1979318596,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,continental,9,0.831644898118661,-0.94836867089485,-0.571820485474234,-0.7764581394895,1094111,95977942.5955856,3,5.48128952131681,-272.963867561949
2018010492P06,010492P06,10492,5.5648887134,46.1979318596,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,continental,11,1.08455457474515,-1.07429855664086,-0.577089286269767,-0.92619637535667,1094110,95977942.5823838,3,5.56524354655568,-273.017743180438
2018010492P07,010492P07,10492,5.5648887134,46.1979318596,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,continental,11,0.360230787965433,-0.727078783086089,-0.818500139032533,-0.692434574790061,1094111,95977942.5955856,3,5.48128952131681,-272.963867561949
2018010492P08,010492P08,10492,5.5648887134,46.1979318596,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,continental,17,0.652056766974522,-0.886047788310812,-0.791757688365971,-0.775077697734437,1094111,95977942.5955856,3,5.48128952131681,-272.963867561949
2018010492P09,010492P09,10492,5.5648887134,46.1979318596,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,continental,14,0.970231825421584,-1.04154132472051,-0.64738602325183,-0.885645226182593,1094110,95977942.5823838,3,5.56524354655568,-273.017743180438
2018010492P10,010492P10,10492,5.5648887134,46.1979318596,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,continental,10,1.40927835074491,-1.25067289894035,-0.533781278337837,-1.20508451915719,1094110,95977942.5823838,3,5.56524354655568,-273.017743180438
2018010511P01,010511P01,10511,4.8647621034,46.1977331764,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,continental,18,-0.554120919882548,-0.153727754477543,1.45520398305802,0.414563353326182,1090460,95977942.4708531,21,8.2768722474575,-273.238938713074
2018010511P02,010511P02,10511,4.8647621034,46.1977331764,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,continental,11,-0.588787967855254,-0.146818320511764,1.4528136953989,0.462218054193225,1090460,95977942.4708531,21,8.2768722474575,-273.238938713074
2018010511P03,010511P03,10511,4.8647621034,46.1977331764,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,continental,13,-0.673419181889945,-0.0969773264432329,1.58237855377491,0.54153792652066,1090460,95977942.4708531,21,8.2768722474575,-273.238938713074
2018010511P04,010511P04,10511,4.8647621034,46.1977331764,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,continental,7,-0.683194572189577,-0.100804117443896,1.52618514412664,0.560147939169696,1090460,95977942.4708531,21,8.2768722474575,-273.238938713074
2018010511P05,010511P05,10511,4.8647621034,46.1977331764,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,continental,17,-0.710622107288952,-0.0706711868994433,1.56442743262171,0.520571493040464,1090460,95977942.4708531,21,8.2768722474575,-273.238938713074
2018010511P06,010511P06,10511,4.8647621034,46.1977331764,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,continental,9,-0.74464983181801,-0.0585336355664533,1.56665955842059,0.565284686721325,1090460,95977942.4708531,21,8.2768722474575,-273.238938713074
2018010511P07,010511P07,10511,4.8647621034,46.1977331764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,continental,13,-0.724355052568498,-0.0552988661091798,1.57183374994372,0.530233264305169,1090460,95977942.4708531,21,8.2768722474575,-273.238938713074
2018010511P08,010511P08,10511,4.8647621034,46.1977331764,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,continental,9,-0.766547666056741,-0.0234596215191585,1.57070172092876,0.502803084786381,1090460,95977942.4708531,21,8.2768722474575,-273.238938713074
2018010511P09,010511P09,10511,4.8647621034,46.1977331764,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,continental,17,-0.735667377578588,-0.0706687940561694,1.53736072322134,0.574130867070073,1090460,95977942.4708531,21,8.2768722474575,-273.238938713074
2018010511P10,010511P10,10511,4.8647621034,46.1977331764,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,continental,8,-0.755687269158108,-0.0638055446160595,1.48809465888774,0.541894537879516,1090460,95977942.4708531,21,8.2768722474575,-273.238938713074
2018010521P01,010521P01,10521,5.1237269165,46.1916514634,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,continental,20,-0.261708610496448,0.297197850501436,0.496596805894299,-0.0961557279450473,1091920,95977942.5139432,24,8.08558702176334,-273.063249084847
2018010521P02,010521P02,10521,5.1237269165,46.1916514634,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,continental,14,-0.14955884197555,0.228196544830712,0.548998704979167,-0.15687329241012,1091920,95977942.5139432,24,8.08558702176334,-273.063249084847
2018010521P03,010521P03,10521,5.1237269165,46.1916514634,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,continental,19,-0.109369155577537,0.17626280497998,0.553678843825,-0.202120475670882,1091920,95977942.5139432,24,8.08558702176334,-273.063249084847
2018010521P04,010521P04,10521,5.1237269165,46.1916514634,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,continental,18,-0.236763289024083,0.242107774212621,0.569062543261831,-0.112256657174831,1091920,95977942.5139432,24,8.08558702176334,-273.063249084847
2018010521P05,010521P05,10521,5.1237269165,46.1916514634,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,continental,17,-0.303377195724794,0.344691273043376,0.495560578202086,-0.0306024392079802,1091920,95977942.5139432,24,8.08558702176334,-273.063249084847
2018010521P06,010521P06,10521,5.1237269165,46.1916514634,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,continental,26,-0.207510979602225,0.22556411290007,0.507038078006501,-0.197911558724114,1091920,95977942.5139432,24,8.08558702176334,-273.063249084847
2018010521P07,010521P07,10521,5.1237269165,46.1916514634,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,continental,24,-0.17483206547051,0.224284421297434,0.560912297575183,-0.201814596032882,1091920,95977942.5139432,24,8.08558702176334,-273.063249084847
2018010521P08,010521P08,10521,5.1237269165,46.1916514634,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,continental,25,-0.280500694447626,0.424711651716533,0.431199583068041,-0.0889849901839064,1091920,95977942.5139432,24,8.08558702176334,-273.063249084847
2018010521P09,010521P09,10521,5.1237269165,46.1916514634,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,continental,18,-0.16719664634258,0.589083634887297,0.428085402758156,-0.109254447250937,1091920,95977942.5139432,24,8.08558702176334,-273.063249084847
2018010521P10,010521P10,10521,5.1237269165,46.1916514634,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,continental,20,-0.10594299812406,0.718383131364626,0.357405807782781,-0.0997092281519893,1091920,95977942.5139432,24,8.08558702176334,-273.063249084847
2018010623P01,010623P01,10623,5.4064953407,46.1483168792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,continental,15,-0.444099029807679,0.479556745544516,-0.737811600591145,-0.418635804022087,1093380,95977942.5590311,3,7.10375146865845,-272.969626617432
2018010623P02,010623P02,10623,5.4064953407,46.1483168792,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,continental,16,-0.275988922864561,0.712286768307463,-0.700168010686058,-0.437595429941526,1093380,95977942.5590311,3,7.10375146865845,-272.969626617432
2018010623P03,010623P03,10623,5.4064953407,46.1483168792,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,continental,7,-0.486812015385398,0.357918792876726,-0.720988006765034,-0.453275555335168,1093380,95977942.5590311,3,7.10375146865845,-272.969626617432
2018010623P04,010623P04,10623,5.4064953407,46.1483168792,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,continental,18,-0.919369531994325,-0.0487044331187549,-1.03084759392528,-0.265031083540481,1093380,95977942.5590311,3,7.10375146865845,-272.969626617432
2018010623P05,010623P05,10623,5.4064953407,46.1483168792,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,continental,12,-0.820160716736785,-0.0842399550310659,-0.934238201681251,-0.362895220872433,1093380,95977942.5590311,3,7.10375146865845,-272.969626617432
2018010623P06,010623P06,10623,5.4064953407,46.1483168792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,continental,7,-0.750140535658355,-0.102270431638027,-0.792463154392036,-0.418100569735043,1093380,95977942.5590311,3,7.10375146865845,-272.969626617432
2018010623P07,010623P07,10623,5.4064953407,46.1483168792,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,continental,13,-0.853196596159032,-0.0767798702083163,-0.96847306654879,-0.31510951898311,1093380,95977942.5590311,3,7.10375146865845,-272.969626617432
2018010623P08,010623P08,10623,5.4064953407,46.1483168792,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,continental,12,-0.777710742594806,-0.0837582444784002,-0.732164426992389,-0.384114024856609,1093380,95977942.5590311,3,7.10375146865845,-272.969626617432
2018010623P09,010623P09,10623,5.4064953407,46.1483168792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,continental,11,-0.769279049444777,-0.0859148659273857,-0.652699164343942,-0.360690466083225,1093380,95977942.5590311,3,7.10375146865845,-272.969626617432
2018010623P10,010623P10,10623,5.4064953407,46.1483168792,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,continental,13,-0.753617665388578,-0.0843078981723624,-0.70853651267562,-0.438886773433486,1093380,95977942.5590311,3,7.10375146865845,-272.969626617432
2018010873P01,010873P01,10873,5.3746240061,46.0411336408,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,continental,10,0.523291043951037,0.422472148738266,1.91992819633706,-0.165245471262342,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
2018010873P02,010873P02,10873,5.3746240061,46.0411336408,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,continental,4,0.487234949814743,0.441424258660575,1.73370968310347,-0.36893625452964,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
2018010873P03,010873P03,10873,5.3746240061,46.0411336408,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,continental,4,0.627974920386594,0.370765382823131,1.55068622713548,-0.621793358773773,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
2018010873P04,010873P04,10873,5.3746240061,46.0411336408,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,continental,12,0.479922699829382,0.379587973599232,1.47331700681458,-0.5016804628121,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
2018010873P05,010873P05,10873,5.3746240061,46.0411336408,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,continental,7,0.238340476564941,0.435719364840898,0.971223048405868,-0.634298474747149,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
2018010873P06,010873P06,10873,5.3746240061,46.0411336408,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,continental,5,0.268537099390843,0.194161758756665,1.31136650123376,-0.571035207488027,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
2018010873P07,010873P07,10873,5.3746240061,46.0411336408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,continental,7,0.120896943433069,0.0441653170702285,1.31297454737332,-0.544781138225949,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
2018010873P08,010873P08,10873,5.3746240061,46.0411336408,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,continental,3,0.228142835829932,0.231291198979762,1.61955745497896,-0.361223965408936,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
2018010873P09,010873P09,10873,5.3746240061,46.0411336408,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,continental,15,0.0697834447334898,-0.181712548196831,1.03829484717622,-0.633461190190384,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
2018010873P10,010873P10,10873,5.3746240061,46.0411336408,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,continental,23,0.195116104892388,0.0397435073439814,1.74859017823702,-0.110543742858135,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
2018010884P01,010884P01,10884,5.6585952932,46.0331292298,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,continental,10,-1.22250171020635,0.151737280346644,-1.00694116725279,-0.255378047455254,1095568,95977942.6036112,3,3.79320951744362,-273.175619243104
2018010884P02,010884P02,10884,5.6585952932,46.0331292298,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,continental,17,-1.18785486742806,0.163541954548006,-0.879535054928575,-0.330988618215831,1095568,95977942.6036112,3,3.79320951744362,-273.175619243104
2018010884P03,010884P03,10884,5.6585952932,46.0331292298,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,continental,15,-1.04768109071991,0.0428019121785977,-0.995663158961675,-0.261015651307005,1095568,95977942.6036112,3,3.79320951744362,-273.175619243104
2018010884P04,010884P04,10884,5.6585952932,46.0331292298,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,continental,14,-1.03964308455869,0.0528430276922824,-0.948740033421188,-0.301354810271736,1095568,95977942.6036112,3,3.79320951744362,-273.175619243104
2018010884P05,010884P05,10884,5.6585952932,46.0331292298,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,continental,22,-1.19004845968703,0.164066902106141,-0.860783689243661,-0.327185743397105,1095568,95977942.6036112,3,3.79320951744362,-273.175619243104
2018010884P06,010884P06,10884,5.6585952932,46.0331292298,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,continental,13,-1.17702892906596,0.165252252508699,-0.848354437503959,-0.35110848729811,1095568,95977942.6036112,3,3.79320951744362,-273.175619243104
2018010884P07,010884P07,10884,5.6585952932,46.0331292298,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,continental,12,-1.23062948722505,0.159559206800821,-1.00084409049675,-0.254675173087937,1095568,95977942.6036112,3,3.79320951744362,-273.175619243104
2018010884P08,010884P08,10884,5.6585952932,46.0331292298,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,continental,11,-1.30357338410322,0.156721501064248,-1.19040267080637,-0.136191928763724,1095568,95977942.6036112,3,3.79320951744362,-273.175619243104
2018010884P09,010884P09,10884,5.6585952932,46.0331292298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,continental,14,-1.23548783319071,0.158292565464737,-1.02468851126453,-0.242793124340585,1094839,95977942.5929418,3,3.80031421649381,-273.078801760883
2018010884P10,010884P10,10884,5.6585952932,46.0331292298,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,continental,12,-1.25647729749711,0.163503054093285,-1.06245534223131,-0.222200681874783,1094839,95977942.5929418,3,3.80031421649381,-273.078801760883
2018010914P01,010914P01,10914,5.3736260616,46.0231531988,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,continental,8,0.457047825204936,-0.166775436487328,1.32615599028195,-0.443176204166666,1094108,95977942.5563474,3,6.6164546737188,-273.144621643839
